50 60 3
1 2 3 
1 32 56 23 
2 53 4 28 
3 29 23 25 
4 4 3 14 
5 46 4 47 
6 12 42 29 
7 30 1 45 
8 55 19 45 
9 6 7 43 
10 24 47 4 
11 15 18 59 
12 30 11 54 
13 57 31 17 
14 21 26 19 
15 26 11 14 
16 5 14 48 
17 33 44 40 
18 9 30 58 
19 53 27 56 
20 35 51 43 
21 38 57 52 
22 29 26 2 
23 22 14 24 
24 30 27 49 
25 41 52 51 
26 46 56 5 
27 25 20 40 
28 4 29 9 
29 53 13 35 
30 41 48 17 
31 15 17 6 
32 6 45 23 
33 60 59 37 
34 23 28 3 
35 12 8 54 
36 54 54 42 
37 58 18 1 
38 29 14 21 
39 29 6 34 
40 56 38 21 
41 4 52 29 
42 9 58 14 
43 32 57 12 
44 8 19 39 
45 10 22 39 
46 55 16 24 
47 36 5 33 
48 29 26 46 
49 49 54 44 
50 22 49 21 
