42 47 3
14 41 141
77 100 93 139
78 112 124 96
79 124 125 113
80 137 108 117 
81 112 129 130
82 111 126 113
83 129 105 89
84 93 101 140
85 126 101 117
86 96 118 128
87 114 93 111
88 142 126 111
89 117 114 126
90 100 117 124    
91 124 136 114
92 124 96 125
93 105 124 117 
94 124 129 104
95 126 117 118
96 100 142 133
97 96 112 139
98 128 96 111
99 93 125 92
100 118 114 136
101 118 114 126
102 92 132 112
103 135 131 114
104 91 100 93 
105 113 112 130
106 136 91 118
107 140 121 90
108 124 125 116
109 126 129 130
110 116 125 101
111 100 124 114
112 118 111 113
113 134 135 138
114 96 128 114
115 112 114 136
116 113 127 131
117 124 117 105
118 91 116 105
